t_ps,Te_1p0mW,Tl_1p0mW,Ts_1p0mW,Te_2p0mW,Tl_2p0mW,Ts_2p0mW,Te_2p5mW,Tl_2p5mW,Ts_2p5mW,Te_3p0mW,Tl_3p0mW,Ts_3p0mW,Te_3p5mW,Tl_3p5mW,Ts_3p5mW,Te_4p0mW,Tl_4p0mW,Ts_4p0mW
64.0,9.678620400515758,12.543271393549746,7.754162925267617,15.355022912840358,20.739122799301235,10.542886004909208,17.57916919253651,22.826581897430152,11.89171555235755,19.671321318909996,24.478589989051848,13.11145518641449,22.100123710461514,26.413910265410955,14.21996698273766,25.958107078191826,28.79734722695569,17.705672261344827
64.25,9.654871170291754,12.481478787091252,7.754419475132343,15.338951202722944,20.69819564271202,10.54377273123485,17.562658805656053,22.785837764434728,11.892722754913367,19.653671110336344,24.437387046900994,13.112242107367624,22.082733871690408,26.374385779628362,14.220550670596028,25.945692377591147,28.765302834170182,17.72510210685276
64.5,9.631079297228109,12.419660406167246,7.754657725745424,15.322836863257244,20.65727570443048,10.544646924749973,17.54609365756373,22.745112978887988,11.8937160604109,19.635950970301387,24.39621546992302,13.113014701924962,22.065250538271993,26.33490087637533,14.221120074077406,25.933128114839736,28.73332681679784,17.74435725435097
64.75,9.6072468439781,12.357821429773871,7.75487768428233,15.306680205240388,20.616362965102557,10.545508600991013,17.52947423035084,22.70440754312495,11.89469548891515,19.6181616043756,24.355075227522224,13.113773000208447,22.04767473656251,26.295455450205917,14.221675247927893,25.920417170145406,28.701418561451188,17.763439790177223
65.0,9.583375967275261,12.295967115237167,7.755079359346689,15.290481539393838,20.575457399733917,10.546357775421193,17.512801004699515,22.663721463795724,11.89566106045117,19.60030371461389,24.31396629243219,13.114517032190557,22.030007486047385,26.256049397829628,14.22221624648707,25.907562395744517,28.669577468720004,17.782351775731712
65.25,9.559468897608179,12.23410293273778,7.755262761013957,15.274241173446015,20.534558962009783,10.547194463428966,17.496074460013237,22.623054751940074,11.896612795005515,19.582377999674,24.272888640758758,13.115246827697169,22.012249799450203,26.216682618123354,14.22274312369102,25.894566614261713,28.637802952915,17.80109524555873
65.5,9.535527963176484,12.172234693964922,7.755427900903197,15.257959411202126,20.49366760769975,10.548018680326871,17.479295074389658,22.582407418415,11.897550712527545,19.564385154921254,24.231842251892832,13.115962416410419,21.994402682828653,26.177355012143572,14.223255933075341,25.881432617276136,28.60609444180772,17.81967220577396
65.75,9.511555611093632,12.11036856579956,7.755574792265114,15.241636553729574,20.452783298563833,10.548830441352665,17.46246332302426,22.541779456918086,11.898474832928075,19.546325872156544,24.190827099249223,13.116663827870832,21.976467135659675,26.138066483138825,14.223754727778188,25.86816316407802,28.574451376367975,17.838084632795475
66.0,9.487554413596534,12.048510964132584,7.755703450072738,15.225272900327152,20.411906002494163,10.549629761670932,17.445579676858408,22.50117085909194,11.899385176077246,19.528200838073733,24.149843144011538,13.117351091476662,21.95844415091555,26.098816936562482,14.224239560543307,25.854760980600375,28.54287321049954,17.85633447234163
66.25,9.463527036763923,11.986668411777261,7.755813891081383,15.208868749249389,20.371035693661568,10.550416656374905,17.428644603170984,22.460581620788016,11.900281761804985,19.510010733863506,24.108890349197605,13.118024236484574,21.94033471513277,26.059606280085706,14.224710483723102,25.841228758510923,28.51135941077526,17.87442363866222
66.5,9.439476243213782,11.924847772432777,7.755906133891954,15.192424398254929,20.330172352666676,10.5511911404885,17.41165856622819,22.420011742138318,11.901164609901974,19.491756235694098,24.0679686811571,13.118683292012019,21.92213980847473,26.0204344236107,14.22516754928169,25.827569154448184,28.47990945599435,17.89235401397339
66.75,9.415404919508049,11.863056299020075,7.755980199042806,15.17594014502865,20.289315966695117,10.551953228968499,17.394622027799088,22.379461227628383,11.90203374012072,19.47343801513646,24.027078109612855,13.11932828703966,21.903860404789484,25.981301279282558,14.225610808797978,25.813784789300893,28.448522834886298,17.910127448069044
67.0,9.391316093411678,11.801301619488441,7.756036109112412,15.15941628751325,20.248466529676836,10.552702936706826,17.377535447567737,22.33893008617221,11.902889172176758,19.455056739519193,23.986218607703282,13.11995925041391,21.885497471562637,25.94220675793787,14.226040313468522,25.79987824751719,28.417199046594636,17.927745758084637
67.25,9.367212918789896,11.73959151125225,7.756073888807235,15.142853124176169,20.20762404244914,10.553440278532948,17.36039928346587,22.29841833118904,11.90373092574996,19.436613072226617,23.94539015202578,13.12057621084944,21.867051969130248,25.903150761481307,14.226456114108688,25.78585207670082,28.385937601905336,17.945210728397527
67.5,9.343098651014678,11.677934019176885,7.7560935650235585,15.126250954230386,20.166788512923574,10.55416526921634,17.343213991944534,22.257925980681787,11.904559020485888,19.418107672950885,23.904592722681087,13.121179196931767,21.848524850172648,25.864133191849895,14.22685826115402,25.771708787353713,28.354738023015596,17.96252411064405
67.75,9.31897667228061,11.616337608115474,7.756095166938485,15.109610077765543,20.125959953981674,10.554877923468947,17.325980028198824,22.217453057317126,11.90537347599724,19.39954119790716,23.863826303318483,13.12176823711982,21.829917059928484,25.825153953203007,14.227246804663011,25.75745085270504,28.323599843276664,17.979687623836085
68.0,9.29485051498907,11.554811173936669,7.756078726119336,15.092930794107625,20.085138359435295,10.555578255945706,17.308697846356736,22.176999588507112,11.906174311865334,19.380914300018674,23.82309088118182,13.122343359748555,21.811229536428282,25.786212951934342,14.227621794320063,25.743080708618223,28.292522606939805,17.99670295456311
68.25,9.270723864016418,11.493363890297408,7.756044276632439,15.07621339889978,20.04432371298012,10.556266281242156,17.291367899640427,22.13656560649228,11.906961547641645,19.36222762907781,23.78238644715635,13.12290459303156,21.79246321069744,25.74731009668437,14.227983279438412,25.728600753568447,28.261505868905694,18.013571757267226
68.5,9.246600521522732,11.43200512009437,7.7559918551171165,15.059458184752952,20.003516004776852,10.556942013894778,17.273990640506184,22.09615114837743,11.90773520284938,19.34348183188762,23.741712995816304,13.12345196506368,21.773619006933796,25.708445298353112,14.228331308963105,25.714013348683196,28.230549194477604,18.03029565458
68.75,9.222484417647529,11.370744654453716,7.7559215008718105,15.042665442457437,19.962715231886776,10.557605468382524,17.256566520384062,22.05575624651567,11.908495296984503,19.324677552387755,23.70107052547315,13.123985503823626,21.754697842663496,25.669618470113353,14.228665931473996,25.699320817839368,28.199652159118394,18.046876237711356
69.0,9.19837963850353,11.309592744608285,7.755833255967557,15.025835461885611,19.921921398436247,10.55825665912863,17.23909598757834,22.015380916653726,11.909241849513494,19.30581543172486,23.660459036293684,13.124505237176527,21.735700628878963,25.630829527424144,14.228987195188717,25.68452544781128,28.16881434821162,18.06331506688219
69.25,9.174290438810896,11.248560029280341,7.755727165368544,15.008968532670446,19.881134515786364,10.558895600502721,17.22157948652027,21.97502517634495,11.909974879871926,19.286896107336606,23.619878515279787,13.125011192874542,21.716628270161678,25.592078388044648,14.229295147965715,25.66962948846357,28.13803535682675,18.079613671792973
69.5,9.15022121123277,11.187657314527799,7.755603277023766,14.992064944723237,19.84035460270744,10.559522306823045,17.204017458515427,21.934689047864076,11.910694407465265,19.267920211519453,23.579328944302176,13.12550339855577,21.697481664792384,25.553364972048307,14.229589837307245,25.65463515298423,28.10731478948886,18.095773552121738
69.75,9.126176477282911,11.126895807061837,7.755461641948678,14.975124988636262,19.79958168555804,10.560136792358884,17.186410342397327,21.89437255828764,11.911400451669941,19.248888371671004,23.538810308803313,13.125981881745787,21.678261704850595,25.5146892018373,14.2298713103624,25.639544618153256,28.07665225995247,18.11179617804598
70.0,9.10216091684762,11.06628719095208,7.7553023143391755,14.958148956003264,19.758815798468355,10.560739071333044,17.168758575046795,21.854075739576768,11.912093031834583,19.229801210791077,23.498322597916914,13.126446669859831,21.658969276305452,25.476051002157227,14.230139613930124,25.62436002464245,28.04604739098003,18.127682990783118
70.25,9.078179386111044,11.005843597484036,7.755125351697359,14.941137139681354,19.718056983527667,10.561329157924481,17.15106259180821,21.813798628662045,11.912772167281332,19.210659347899536,23.457865804514693,13.126897790205094,21.63960525909915,25.437450300112133,14.230394794462244,25.609083477342672,28.015499814124738,18.143435403145133
70.5,9.054236896572611,10.945577354670787,7.754930814937708,14.92408983400462,19.677305290521197,10.561907066270972,17.13332282682647,21.773541267530266,11.913437877307295,19.191463398386386,23.4174399252542,13.127335269983003,21.620170527224285,25.398887025179757,14.230636898066487,25.593717045715252,27.985009169517973,18.159054800103874
70.75,9.03033858918602,10.885501132896602,7.7547187684664145,14.907007333936761,19.63656075804711,10.562472810470734,17.115539713323102,21.733303703313034,11.914090181186046,19.17221397430705,23.37704496062772,13.1277591362916,21.600665948764846,25.36036110775373,14.230865970509441,25.57826276416408,27.95457510566114,18.174542539363248
71.0,9.006489760836256,10.825628082099303,7.754489280291139,14.88988993161379,19.595823406229815,10.563026404580208,17.097713683825713,21.69308598837707,11.914729098169195,19.15291168463332,23.336680915012142,13.128169416127887,21.581092385335214,25.321872469615467,14.2310820572182,25.562722632425654,27.924197279222103,18.189899951935693
71.25,8.982695884928217,10.765971818577809,7.754242422146444,14.87273791611965,19.555093260970498,10.563567862613542,17.079845170361605,21.652888180416145,11.915354647488034,19.13355713546853,23.29634779671971,13.12856613639026,21.561450691283937,25.283421029919612,14.231285203281121,25.547098615974676,27.89387535483607,18.205128342720442
