dataset,fluence_ratio,t_ps,y_exp,sigma,y_fit_raw,y_fit,residual_raw,residual,offset_mask,offset_pre0,offset_npts,offset_apply_to,u_m_chi2q,u_raw_m_chi2q,m,eta,phi,chi2q,Te,Ts,Tl,A_obs,B_obs,readout_source,dt_i_ps,sigma_irf_ps,y_column
deltak12k_1p0mW.csv,1.0,99.0,0.031169221,,0.030675625558449954,0.030675625558449954,-0.000493595441550046,-0.000493595441550046,0,0.0017004664620211708,4,pre0_only,0.2414129911641466,0.2414129911641466,0.7042407484296002,0.9394087916759346,0.17494738369698185,0.3427989529184132,7.646149297961481,7.651453015703702,7.646473280875682,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_1p0mW.csv,1.0,104.0,0.03067337,,0.03058053085278212,0.03058053085278212,-9.283914721787759e-05,-9.283914721787759e-05,0,0.0017004664620211708,4,pre0_only,0.2407790264596944,0.2407790264596944,0.7036628342364966,0.9396345890407002,0.17461774217070528,0.3421795421680181,7.612236226967534,7.6291489832382355,7.597229821772439,0.15,-0.005536323116172037,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,-16.0,0.040924961,,0.03790004249692111,0.04111293291555434,-0.0030249185030788925,0.0001879719155543358,1,0.0032128904186332265,4,pre0_only,0.28900997103981213,0.28900997103981213,0.825627528053666,0.9367314444138454,0.17881162906832723,0.35004885522788237,4.775087773799896,4.775087773799896,4.775087773799896,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,-11.0,0.041397745,,0.03790064074015387,0.041113531158787096,-0.0034971042598461316,-0.00028421384121290333,1,0.0032128904186332265,4,pre0_only,0.28901572585099844,0.28901572585099844,0.8256425689580112,0.9367312227447878,0.1788119456939445,0.3500494484141558,4.768989770110864,4.770367321534593,4.767795898987748,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,-6.0,0.041108863,,0.03790231755615266,0.04111520797478589,-0.003206545443847339,6.344974785889301e-06,1,0.0032128904186332265,4,pre0_only,0.28903185601167364,0.28903185601167364,0.8256844816140182,0.9367305625757185,0.17881288865701217,0.35005121501942804,4.764288205869551,4.765671217321582,4.763080234086871,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,-1.0,0.041027908,,0.03790491453223946,0.04111780495087269,-0.003122993467760543,8.989695087268518e-05,1,0.0032128904186332265,4,pre0_only,0.28905683766832513,0.28905683766832513,0.8257489620651131,0.9367294718303946,0.17881444663014548,0.350054133819828,4.759631795523147,4.7610037157894665,4.7584346612946575,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,4.0,0.036181713,,0.03767296051654631,0.03767296051654631,0.0014912475165463138,0.0014912475165463138,0,0.0032128904186332265,4,pre0_only,0.2868255519786175,0.2868255519786175,0.8198847363584173,0.9368107972562129,0.17869824928550396,0.3498364334145014,288.8665910037889,7.116317988096695,24.27388823888053,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,9.0,0.035139342,,0.03675469445744089,0.03675469445744089,0.0016153524574408912,0.0016153524574408912,0,0.0032128904186332265,4,pre0_only,0.277992275646223,0.277992275646223,0.7966171625173355,0.9371353991442598,0.17823373762077474,0.34896596348459097,157.30910612864028,9.171124267623345,28.31783722232603,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,14.0,0.03343314,,0.03553417944044265,0.03553417944044265,0.0021010394404426466,0.0021010394404426466,0,0.0032128904186332265,4,pre0_only,0.2662515102045756,0.2662515102045756,0.7656824134201575,0.9375943433249138,0.17757499481110797,0.3477309985680366,48.858185237295416,10.002435036626956,29.04850744126008,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,19.0,0.034491936,,0.034352205768777656,0.034352205768777656,-0.00013973023122234446,-0.00013973023122234446,0,0.0032128904186332265,4,pre0_only,0.2548814939049389,0.2548814939049389,0.735899589933388,0.9381040258666873,0.17684067160387004,0.34635362947818765,17.2674085021504,10.146672809642132,28.31871734519963,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,24.0,0.03245922,,0.03331361314371918,0.03331361314371918,0.0008543931437191843,0.0008543931437191843,0,0.0032128904186332265,4,pre0_only,0.24489073407780768,0.24489073407780768,0.709931008512466,0.9386210447944198,0.17609278200102346,0.34495004604874574,17.092147242248792,10.214207529635807,27.443464563966543,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,29.0,0.033152785,,0.03240291347679418,0.03240291347679418,-0.0007498715232058181,-0.0007498715232058181,0,0.0032128904186332265,4,pre0_only,0.23613024278663974,0.23613024278663974,0.6873703606185029,0.9391428194584688,0.17533491417401115,0.34352694895684377,16.994809305238878,10.274796820364562,26.57892537630011,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,34.0,0.032936288,,0.031602139449282765,0.031602139449282765,-0.001334148550717236,-0.001334148550717236,0,0.0032128904186332265,4,pre0_only,0.22842718309639726,0.22842718309639726,0.6677513096390942,0.939669297844557,0.1745670178653133,0.34208421578365367,16.85363852720699,10.328927239851561,25.724137661614453,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,39.0,0.032739429,,0.030896071869916282,0.030896071869916282,-0.0018433571300837184,-0.0018433571300837184,0,0.0032128904186332265,4,pre0_only,0.22163515373187398,0.22163515373187398,0.6506770325597341,0.9402001915663175,0.1737893871453947,0.34062237122458633,16.67377574733347,10.37689870206667,24.877817010617935,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,44.0,0.030448519,,0.030271839830598737,0.030271839830598737,-0.00017667916940126288,-0.00017667916940126288,0,0.0032128904186332265,4,pre0_only,0.21563034276870088,0.21563034276870088,0.6358099475319616,0.9407349179534332,0.17300275327822628,0.3391427636603017,16.45997798034359,10.418971986442994,24.038737005566,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,49.0,0.031820517,,0.029718573273634502,0.029718573273634502,-0.0021019437263654975,-0.0021019437263654975,0,0.0032128904186332265,4,pre0_only,0.21030818549774757,0.21030818549774757,0.6228628248251145,0.941272567667724,0.17220834252802805,0.33764767636725995,16.21648485292568,10.455373420656557,23.205743064606537,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,54.0,0.028680113,,0.029227105764173103,0.029227105764173103,0.0005469927641731029,0.0005469927641731029,0,0.0032128904186332265,4,pre0_only,0.20558050523948393,0.20558050523948393,0.6115912340466222,0.9418118973368934,0.1714078985978053,0.3361403725152351,15.947034276020483,10.48629940581846,22.37777802609895,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,59.0,0.0276839,,0.02878971898097154,0.02878971898097154,0.001105818980971538,0.001105818980971538,0,0.0032128904186332265,4,pre0_only,0.2013730554684225,0.2013730554684225,0.601787120826026,0.9423513488665736,0.17060366602736032,0.33462506673790804,15.654907983332025,10.511920818648836,21.55391528854776,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,64.0,0.028148462,,0.028399922021132548,0.028399922021132548,0.00025146002113254906,0.00025146002113254906,0,0.0032128904186332265,4,pre0_only,0.19762339683120855,0.19762339683120855,0.5932733385796882,0.9428890945617173,0.16979833444538342,0.3331068227409715,15.342999645006559,10.532387285491945,20.733413909470222,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,69.0,0.0281234,,0.02805225999265562,0.02805225999265562,-7.114000734437936e-05,-7.114000734437936e-05,0,0.0032128904186332265,4,pre0_only,0.19427905589933386,0.19427905589933386,0.5858989878067357,0.9434231046858333,0.16899494727765252,0.3315913833997246,15.013901473794164,10.547831405245402,19.91579452193339,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,74.0,0.026934917,,0.027742147529839008,0.027742147529839008,0.0008072305298390085,0.0008072305298390085,0,0.0032128904186332265,4,pre0_only,0.19129592366765014,0.19129592366765014,0.5795354373813018,0.9439512319466941,0.1681967818830539,0.33008494619767,14.670010536524826,10.558373068618423,19.100952857148588,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
