t_ps,m_1p0mW,chi2q_1p0mW,eta_1p0mW,phi_1p0mW,m_chi2q_1p0mW,m2_chi2q2_1p0mW,m2_chi2q_1p0mW,m2_1p0mW,m_2p0mW,chi2q_2p0mW,eta_2p0mW,phi_2p0mW,m_chi2q_2p0mW,m2_chi2q2_2p0mW,m2_chi2q_2p0mW,m2_2p0mW,m_2p5mW,chi2q_2p5mW,eta_2p5mW,phi_2p5mW,m_chi2q_2p5mW,m2_chi2q2_2p5mW,m2_chi2q_2p5mW,m2_2p5mW,m_3p0mW,chi2q_3p0mW,eta_3p0mW,phi_3p0mW,m_chi2q_3p0mW,m2_chi2q2_3p0mW,m2_chi2q_3p0mW,m2_3p0mW,m_3p5mW,chi2q_3p5mW,eta_3p5mW,phi_3p5mW,m_chi2q_3p5mW,m2_chi2q2_3p5mW,m2_chi2q_3p5mW,m2_3p5mW,m_4p0mW,chi2q_4p0mW,eta_4p0mW,phi_4p0mW,m_chi2q_4p0mW,m2_chi2q2_4p0mW,m2_chi2q_4p0mW,m2_4p0mW
17.75,0.7931107846738682,0.3542511618725227,0.935150316426171,0.18105658901873237,0.280960416964346,0.07893875590077916,0.22283273676088963,0.6290247167659989,0.7426447753085726,0.3466826241620257,0.9379824934955511,0.17701603381508488,0.25746203952419394,0.06628670179595761,0.19120283849293185,0.5515212622931204,0.7187488950035417,0.33853238333527275,0.9409547414373021,0.17267837444106024,0.24331977644514266,0.059204513609314204,0.1748858204524551,0.5165999740688122,0.6950939572177458,0.2346818833940123,0.9720722265380486,0.11844564950917172,0.1631259590156576,0.026610078504778003,0.11338786837713326,0.48315560936062546,0.6717727380073457,0.10253215063972743,0.9947296909639283,0.0513563282996595,0.06887830356903131,0.0047442207025476316,0.0462705665778693,0.45127861152988596,0.6467956974128806,0.05048711899407024,0.9987247122283891,0.025254295908286505,0.03265485134013675,0.001066339316046431,0.021121017346457684,0.41834467419181454
18.0,0.7924356540471285,0.3542150972172642,0.9351639775479827,0.18103730634770202,0.28069267223672995,0.0787883762473963,0.22243088131014935,0.6279542658051003,0.7412049010149326,0.34661284699044775,0.9380082805077876,0.17697883897782193,0.2569111409440588,0.06600333434117805,0.19042379679307453,0.5493847052885561,0.7168337163855802,0.33806441954462696,0.9411229719000352,0.17242973232724848,0.24233597423990894,0.05872672441080581,0.17371459702831415,0.5138505769471625,0.6926438859896294,0.2289501366709996,0.9734381515629694,0.11549951763331383,0.15858091236165792,0.02514790576545583,0.10984009938195961,0.4797555527988148,0.6687424968696591,0.09832942995642432,0.9951539193534057,0.04924428797103669,0.06575706850482946,0.004323992058348834,0.04397454617874888,0.4472165271194661,0.6429673559319289,0.04742601429097891,0.9988747534943867,0.023721905476887465,0.030493379011060584,0.0009298461635121901,0.0196062472761718,0.41340702079409575
18.25,0.7917647486201854,0.3541790131849384,0.9351776444180769,0.18101801359823982,0.2804264573409181,0.07863899797677776,0.22203178350298117,0.6268914171575855,0.7397751114500543,0.3465430147245469,0.9380340819744357,0.17694161579605103,0.25636389734008946,0.06572244785939993,0.18965163072653496,0.5472672155209402,0.7149302512667757,0.33758845643659624,0.9412938085851603,0.1721768855067027,0.2413521999849787,0.058250884437589155,0.17254998897904994,0.511125264176375,0.6902035509097857,0.22341336074378115,0.9747237917693243,0.11265747411689885,0.15420069490604668,0.02377785430950769,0.10642986717690991,0.4763809416884771,0.6657148818774385,0.0943471029067298,0.995539363447326,0.047243818199105655,0.06280827046703218,0.0039448788390598665,0.04181240035488653,0.44317630395309193,0.6391234808034466,0.04452636057679286,0.9990082097829754,0.022270543344325253,0.028457842559349213,0.0008098488031327074,0.01818807539268773,0.4084788237143136
18.5,0.7910980401324682,0.35414291002415066,0.9351913169398155,0.18099871090367572,0.2801617620469146,0.078490612913232,0.22163542087537308,0.6258361091014323,0.7383553632661608,0.34647312912826994,0.9380598972304834,0.1769043652121148,0.2558202931194672,0.06544402237173011,0.18888628545707994,0.5451686424639043,0.7130387999757682,0.3371053756565898,0.9414669222566608,0.17192030443323333,0.24036921252355536,0.057777358329194124,0.17139257484891632,0.5084243302708836,0.687773737198363,0.21808158631402877,0.9759305414376357,0.10992415480910363,0.14999078763334694,0.022497236374871783,0.10315972455591303,0.47303271357980287,0.6626910390313365,0.09056814360997761,0.9958902607029765,0.045346209207548345,0.06001869719203537,0.0036022440126292346,0.03977385280349708,0.4391594132124324,0.6352653368482379,0.04178104485013457,0.9991267908985481,0.02089660514782107,0.026542049530592075,0.000704480393284403,0.016861244035694188,0.4035620482009052
18.75,0.7904355005542981,0.354106787982991,0.9352049950167979,0.18097939839705654,0.2798985762090102,0.0783432129638311,0.22124177119020433,0.6247882805365238,0.7369456039513672,0.3464031914221807,0.9380857258121605,0.17686708787862965,0.2552803091133,0.06516803622098201,0.18812770157639258,0.5430888231832454,0.7111595976723026,0.33661594518129634,0.9416420261700847,0.1716603988846553,0.2393876601452126,0.05730645182979981,0.1702428320765833,0.5057479733614314,0.6853551738690861,0.21296052577012464,0.9770608038723649,0.10730199838263989,0.14595359816643574,0.021302452817729394,0.1000300536481763,0.4697117143491252,0.6596720935753074,0.08697741951806631,0.9962102832705444,0.04354372980253023,0.057376576427260614,0.0032920715225132785,0.03784972629395464,0.4351672710420292,0.6313941828999766,0.03918337841131833,0.999232036544203,0.019596705980555327,0.024740157195274923,0.0006120753780469136,0.015620791337127588,0.39865861419992915
19.0,0.7897771020851178,0.35407064730904014,0.9352186785528598,0.18096007621114912,0.2796368897651355,0.07819679011751855,0.22085081243480423,0.6237478709779665,0.7355457746528223,0.3463332024378064,0.9381115673997275,0.17682978424078996,0.25474392367510906,0.06489446664938979,0.18737581667770753,0.5410275866096205,0.709292819586192,0.33612081759223594,0.9418188764200508,0.17139751709243234,0.23840808243161313,0.05683841376871884,0.16910114100005616,0.5030963039165303,0.6829485317582277,0.2080522480193904,0.9781177138228702,0.10479160488377065,0.14208897731384132,0.020189277474093312,0.09703945843551605,0.4664186970307189,0.6566591458889577,0.08356145248012005,0.996502626017319,0.04182950209015024,0.05487139201483636,0.0030108696616458473,0.036031801414200613,0.4312012338796154,0.6275112729333915,0.03672701543659331,0.999325335582522,0.018367638568172324,0.023046616207660988,0.0005311465186232222,0.014462011473276677,0.3937703976584853
19.25,0.7891228171517086,0.35403448824937417,0.9352323674520701,0.18094074447844288,0.27937669273620963,0.07805133644422249,0.22046252281852502,0.6227148205494489,0.7341558122169001,0.3462631627304353,0.9381374217756778,0.17679245459651424,0.25421111347515535,0.0646232902142783,0.1866305664879152,0.5389847566118562,0.7074385876287455,0.33562053515711615,0.9419972698372596,0.17113194848885463,0.23743091737075395,0.05637344052351779,0.16796779284416352,0.5004693552661541,0.6805544217033014,0.20335581576062758,0.9791049035707715,0.10239207035797367,0.138394699594977,0.019153092875983924,0.0941851247496617,0.463154320899915,0.6536532673415066,0.08030820378217275,0.996770080011073,0.04019738933435499,0.05249371979654476,0.0027555906180781555,0.03431269145992101,0.4272625939062272,0.6236178572365669,0.03440588972871213,0.9994079421097152,0.017206340715000098,0.021456127228937066,0.0004603653956643346,0.013380424087104891,0.3888992318643272
19.5,0.788472618406406,0.35399831105056995,0.9352460616187293,0.18092140333115272,0.27911797522548826,0.07790684409397627,0.2200768807703351,0.621689069976654,0.7327756506446095,0.3461930726604108,0.9381632887946232,0.17675509913979187,0.25368185406738913,0.06435448308306811,0.18589188567096193,0.5369601541776308,0.7055969778098464,0.3351155399208991,0.9421770401063296,0.17086392911216533,0.23645651218530134,0.05591168215483756,0.16684300038140576,0.4978670950943889,0.6781733930200585,0.19886786762357703,0.9800263114972227,0.10010128949955216,0.13486689654894507,0.01818907978474385,0.0914631408386833,0.45991915100033876,0.6506554961554127,0.07720688346274249,0.9970150937402956,0.03864189686757079,0.05023508306606384,0.002523563570654334,0.03268573289675814,0.4233525746772463,0.6197151835335257,0.03221416639049438,0.9994809890557026,0.016109870358035985,0.01996360803706476,0.00039854564585755677,0.012371751018680958,0.3840469087019915
19.75,0.7878264787253181,0.3539621159587088,0.9352597609573682,0.18090205290122102,0.2788607274179123,0.07776330529604718,0.2196938649364346,0.6206705605807341,0.7314052221203693,0.3461229324511676,0.9381891683617992,0.17671771799162694,0.2531561202903998,0.06408802124048738,0.1851597083921308,0.5349535989449468,0.703768027838342,0.33460618673890724,0.9423580528631607,0.17059364856844447,0.23548513614374875,0.05545324934463988,0.16572690984912952,0.49528943700746936,0.6758059324591952,0.19458313720253728,0.9808860294225923,0.09791622313403692,0.13150043847799622,0.01729236531990527,0.08886877644441527,0.45671365834704225,0.6476668333215213,0.07424778289673327,0.9972398240819104,0.037158085360885475,0.04808782642987105,0.0023124390507494046,0.031144890265149536,0.41947232698472725,0.6158044979729469,0.03014620569851776,0.9995454998558008,0.015075386840300149,0.01856416906596492,0.0003446283731097288,0.011431898811951438,0.37921517972371316
20.0,0.7871843712065559,0.35392590321938106,0.9352734653727461,0.18088269332031998,0.27860493957946086,0.07762071235807504,0.2193134541778984,0.6196592342718609,0.7300444577344385,0.3460527422303972,0.9382150604178245,0.17668031122198688,0.2526338865491058,0.06382388063290645,0.18443396871108558,0.5329649102687704,0.7019517443622783,0.33409275734366617,0.942540200463888,0.1703212575353282,0.23451699379618982,0.054998220379202135,0.16461961287783303,0.49273625141324523,0.6734524638453635,0.190494907733368,0.9816881837567648,0.0958331306688463,0.12828926496303186,0.016458135504754993,0.08639672157426448,0.4535382210593906,0.6446882386045356,0.07142212896183606,0.9974461787457802,0.03574149546112883,0.04604500651779208,0.002120142625223515,0.029684674148489736,0.4156229249950186,0.6118870459057312,0.02819653688310907,0.9996023986104673,0.014100137235812778,0.017253095658177602,0.0002976693097902268,0.01055694573501129,0.3744057569472424
20.25,0.7865462691684705,0.35388967307769004,0.9352871747698488,0.1808633247198539,0.2783506020565068,0.07747905766521981,0.218935627568343,0.61865503354284,0.7286932879877673,0.3459825020591252,0.9382409649279376,0.17664287886530466,0.2521151270116984,0.06356203726812483,0.1837146008536081,0.5309939079584233,0.7001481094683414,0.3335754739826704,0.9427233969501535,0.17004687503055596,0.23355223747397258,0.05454664762909888,0.16352115752950303,0.49020737519209256,0.6711133485977766,0.18659540524190396,0.9824368451674691,0.09384776959939543,0.1252266672448533,0.01568171818925321,0.084041287988433,0.4503931266661208,0.6417206266796924,0.0687219577807365,0.9976358516607062,0.03438808267343953,0.044100297813709596,0.0019448362672578794,0.02830007074977479,0.4118053627061772,0.6079640723786359,0.026359839873060262,0.9996525190494278,0.013181446739115501,0.016025835596474462,0.000256827406565228,0.00974313227250312,0.36962031330321526
20.5,0.7859121461479043,0.3538534257782555,0.9353008890538876,0.18084394723096098,0.27809770527517697,0.0773383336793192,0.2185603643916217,0.6176579014628049,0.7273516431434628,0.3459122119521959,0.9382668818744159,0.17660542093140036,0.25159981574681944,0.0633024672838335,0.18300153939804162,0.5290404127834952,0.6983570862425476,0.33305451170428435,0.9429075735369934,0.16977059495598956,0.23259097835373846,0.05409856321154923,0.16243155792942024,0.487702619905181,0.6687888872910238,0.18287613493112623,0.9831359617431622,0.09195556501718517,0.12230552679267104,0.014958641884032772,0.08179657717321297,0.44727857576396574,0.6387648634477454,0.0661400059720603,0.9978103525269799,0.03309416136284322,0.04224791188317616,0.0017848860584886177,0.026986481665009398,0.4080205507754168,0.6040368222740796,0.024630933362032075,0.9996966125388818,0.012316712284900534,0.014877990717646467,0.00022135460779437445,0.008986854234910425,0.36486048266296806
20.75,0.785281975898456,0.3538171615652177,0.9353146081302979,0.1808245609845154,0.2778462397407174,0.07719853293805623,0.21818764413954672,0.6166677816709834,0.7260194534706507,0.3458418718926864,0.9382928112512441,0.17656793741316526,0.25108792681879494,0.06304514699416053,0.18229471940206024,0.5271042468178223,0.696578623349441,0.33253000885499545,0.9430926747732148,0.16949249168625938,0.23163329579059014,0.05365398371881102,0.16135080230370316,0.4852217785074024,0.6664793223356333,0.17932816602299226,0.983789311220055,0.09015175217851487,0.11951851456669582,0.014284675324229482,0.07965661859497296,0.44419468710096505,0.6358217625846978,0.0636696174307247,0.9979710315516304,0.03185635681202111,0.04048252837789678,0.0016388351038672182,0.025739672547119376,0.4042693137763118,0.600106540028283,0.023004767805416357,0.9997353553107037,0.011503398691737101,0.013805311611862447,0.0001905866287006241,0.008284657785407053,0.36012785938471725
21.0,0.7846557323887584,0.3537808806822413,0.935328331904737,0.1808051661111297,0.277596196036864,0.07705964805413701,0.21781744650963888,0.6156846183705389,0.7246966494130982,0.34577148184204326,0.9383187530603646,0.17653042829196577,0.2505794343535307,0.0627900529209354,0.18159407648783304,0.5251852336705709,0.6948126586919151,0.33200207570506934,0.9432786553969752,0.16921262465918,0.2306792449118737,0.05321291403311221,0.1602788594622624,0.4827646306785277,0.6641848417463718,0.17594236979208347,0.9844004685654847,0.08843149485077313,0.11685825503683658,0.013655851770254343,0.07761548162839847,0.441141504005653,0.6328920823968216,0.06130466379908086,0.9981191002062237,0.030671564358299045,0.03879923633243733,0.0015053807399803248,0.02455572947784268,0.40055238796058523,0.59617446886206,0.021476422171194793,0.9997693550468151,0.010739036733168186,0.012803694580969426,0.00016393459492274585,0.007633235816281485,0.35542399732295943
21.25,0.784033389800773,0.35374458337251913,0.9353420602830832,0.18078576274115646,0.27734756482521833,0.07692167171447868,0.21744975140290554,0.6147083563224908,0.7233831617053396,0.3457010417472134,0.9383447073090418,0.1764928935414448,0.2500743125839288,0.06253716181432453,0.1808995468982518,0.5232831986388135,0.6930591222693981,0.33147080133359824,0.9434654778333239,0.16893104203858367,0.22972886263019765,0.05277535032536422,0.15921568389443191,0.48033094696082856,0.6619055838415687,0.17270961475766786,0.9849727859033761,0.0867899816823293,0.11431745839122656,0.013068481293029816,0.07566736403972905,0.43811900192064795,0.6299765230675046,0.059039476975501576,0.998255648698498,0.029536914737664285,0.03719348442875048,0.0013833552839517043,0.023431022001189596,0.39687041961622216,0.5922418494617977,0.02004110345762165,0.9997991569171285,0.010021222635543687,0.011869180176997075,0.0001408774380740203,0.007029425219620055,0.35075040825393067
21.5,0.7834149225281007,0.3537082698787761,0.9353557931714342,0.18076635100469063,0.2771003368446299,0.07678459667940737,0.21708453892164636,0.61373894083971,0.7220789214522163,0.3456305515456677,0.938370674008005,0.17645533313019954,0.24957253588103037,0.06228645066608819,0.18021106753306898,0.521397968805596,0.6913179383711756,0.33093625900748813,0.9436531102445054,0.16864778357502405,0.2287821723093261,0.05234128236657418,0.15816121969696237,0.47792049191377256,0.6596416426114043,0.1696209224390453,0.9855093823353116,0.08522250249435309,0.11188902389895346,0.012519153669060578,0.07380665951489235,0.4351270966670717,0.6270757243971896,0.05686879220025108,0.9983816607258392,0.028449744869707097,0.03566103906456569,0.0012717097071644804,0.02236217190416901,0.3932239641282601,0.5883099180535581,0.018694148155460687,0.99982524914344,0.00934761858552562,0.010997952769420151,0.00012095496511839637,0.006470204692534472,0.3461085596801843
21.75,0.7828003051743043,0.35367194044327294,0.9353695304761055,0.18074693103157147,0.27685450291058245,0.07664841578186571,0.21672178936728426,0.612776317780984,0.7207838601829458,0.34556001116894486,0.9383966531701393,0.17641774702367047,0.24907407877521395,0.06203789671772149,0.17952857597110985,0.5195293731002284,0.6895890272374368,0.33039851031773887,0.9438415250346951,0.16836288280489797,0.22783918733070777,0.05191069528351735,0.15711540355795087,0.47553302648627427,0.6573930734315843,0.16666758694347333,0.9860131416276559,0.08372450627539668,0.10956611722219572,0.012004734043147934,0.07202800654466447,0.4321656529958243,0.624190264150458,0.05478770042063367,0.9984980259783286,0.027407573405880566,0.03419794919775149,0.0011694997293319916,0.021346026943148442,0.3896134858602185,0.5843799038220487,0.01743102497534813,0.9998480681425097,0.008715953902500581,0.010186340698613669,0.0001037615368282332,0.005952692797754477,0.34149987199106696
22.0,0.7821895125512447,0.35363559530781025,0.9353832721036285,0.1807275029513847,0.2766100539145853,0.07651312192662979,0.21636148323822302,0.6118204335451538,0.7194979098874589,0.34548942054515924,0.9384226448095603,0.17638013518547788,0.24857891597047138,0.06179147746505467,0.1788520104828444,0.5176772423324218,0.6878723063048077,0.32985760832303324,0.9440306977166624,0.16807636872127193,0.2268999137893528,0.05148357087761573,0.15607816699864413,0.47316830978109514,0.6551598987926422,0.16384126194846066,0.9864867160196005,0.0822916427698231,0.10734222459621227,0.011522353181263678,0.07032632100263152,0.42923449298598526,0.621320657128627,0.05279160877805663,0.9986055507769945,0.02640808043960653,0.03280051705685954,0.0010758739191973335,0.020379638811926712,0.38603935897474895,0.5804530256396062,0.016247338288870258,0.9998680032876974,0.008124026595847798,0.009430816668364964,8.894030303231044e-05,0.005474146069404873,0.33692571497417334
22.25,0.781582519677432,0.35359923471373217,0.9353970179607496,0.18070806689346458,0.2763669808235705,0.07637870808953577,0.21600360122773074,0.6108712350653234,0.718221003040399,0.34541877960078265,0.9384486489409561,0.1763424975783716,0.24808702235386465,0.061547170660406936,0.17818131003629856,0.5158414092083569,0.6861676911334545,0.3293135999184547,0.94422060606023,0.16778826703245592,0.22596435251489225,0.05105988860747449,0.15504943804360963,0.4708261003554159,0.6529421137610616,0.1611340191296173,0.9869325346137577,0.08091978976917559,0.10521118704930765,0.011069393880324402,0.06869681486328537,0.4263334039227631,0.6184673550764295,0.05087620816725543,0.9987049671662408,0.02544909083512557,0.031465273901520305,0.0009900634616976948,0.01946024472662867,0.3825018692952343,0.5765304880892864,0.01513883184362579,0.9998854013187763,0.007569705083428711,0.008727998111907208,7.617795104145579e-05,0.005031957011500233,0.33238740369647085
