t_ps,Te_1p0mW,Ts_1p0mW,Tl_1p0mW,m_1p0mW,meq_1p0mW,tau_m_ps_1p0mW,dm_dt_per_ps_1p0mW,Ts_minus_TN_1p0mW,above_TN_1p0mW,Te_2p0mW,Ts_2p0mW,Tl_2p0mW,m_2p0mW,meq_2p0mW,tau_m_ps_2p0mW,dm_dt_per_ps_2p0mW,Ts_minus_TN_2p0mW,above_TN_2p0mW,Te_2p5mW,Ts_2p5mW,Tl_2p5mW,m_2p5mW,meq_2p5mW,tau_m_ps_2p5mW,dm_dt_per_ps_2p5mW,Ts_minus_TN_2p5mW,above_TN_2p5mW,Te_3p0mW,Ts_3p0mW,Tl_3p0mW,m_3p0mW,meq_3p0mW,tau_m_ps_3p0mW,dm_dt_per_ps_3p0mW,Ts_minus_TN_3p0mW,above_TN_3p0mW,Te_3p5mW,Ts_3p5mW,Tl_3p5mW,m_3p5mW,meq_3p5mW,tau_m_ps_3p5mW,dm_dt_per_ps_3p5mW,Ts_minus_TN_3p5mW,above_TN_3p5mW,Te_4p0mW,Ts_4p0mW,Tl_4p0mW,m_4p0mW,meq_4p0mW,tau_m_ps_4p0mW,dm_dt_per_ps_4p0mW,Ts_minus_TN_4p0mW,above_TN_4p0mW
53.5,10.620816251352414,7.726906083118023,15.07486744525341,0.7291250095051597,0.696328175354216,30.0,-0.0010932278050314566,-7.273093916881977,0.0,15.987247740879063,10.494107371646583,22.465355200437266,0.6120903627672916,0.5480810541245043,30.0,-0.0021336436214262435,-4.505892628353417,0.0,18.216389726088405,11.836591018511097,24.555605304209763,0.5446038024900373,0.4592318935998024,30.0,-0.0028457302963411624,-3.163408981488903,0.0,20.339478858423867,13.065042916415607,26.238098615350804,0.4691560479772012,0.35916171692654864,30.0,-0.003666477701688418,-1.9349570835843934,0.0,22.731441255742986,14.18176403642986,28.111216397043687,0.37847832398220094,0.23355741101067512,30.0,-0.0048306970990508605,-0.8182359635701406,0.0,26.307635216606972,16.71293531450612,30.215250346985417,0.21279736445601755,0.0,30.0,-0.007093245481867252,1.7129353145061188,1.0
53.75,10.599847059948015,7.727926578346071,15.016509711003543,0.7288526345943904,0.6962793223821376,30.0,-0.0010857770737417597,-7.272073421653929,0.0,15.973264676909125,10.495535719017395,22.42406651407372,0.6115588067154033,0.5479941776444104,30.0,-0.0021188209690330972,-4.504464280982605,0.0,18.202649515137974,11.838200679533472,24.514024101799148,0.5438948397449709,0.45911504153581734,30.0,-0.0028259932736384515,-3.1617993204665282,0.0,20.325462087097865,13.066461123053813,26.195529919339847,0.46824268922803125,0.35903007088043826,30.0,-0.0036404206115864327,-1.9335388769461872,0.0,22.71899636245352,14.183002879771745,28.06992192072462,0.3772749312114497,0.23338053621046378,30.0,-0.004796479833366198,-0.8169971202282547,0.0,26.30382486518191,16.740238655211304,30.179596244278596,0.21103142140117875,0.0,30.0,-0.0070343807133726255,1.7402386552113036,1.0
54.0,10.578801516264047,7.72892911403243,14.958049203351912,0.7285821181847324,0.6962313258282082,30.0,-0.001078359745217472,-7.27107088596757,0.0,15.959224568058804,10.49695079414781,22.382788225919832,0.6110309442275442,0.5479080948390396,30.0,-0.0021040949796168216,-4.503049205852189,0.0,18.188831824375995,11.839795553294781,24.472463737158147,0.5431907950922358,0.4589992336017726,30.0,-0.00280638538301544,-3.160204446705219,0.0,20.31134165309874,13.067863567563915,26.15299512239589,0.46733582356742726,0.35889984047884316,30.0,-0.00361453276961947,-1.932136432436085,0.0,22.706408729759374,14.184224737949188,28.028672291437257,0.376080066747032,0.233205955048438,30.0,-0.004762470389953133,-0.8157752620508116,0.0,26.299780922959698,16.767452871523787,30.14404702543202,0.20928013339096846,0.0,30.0,-0.006976004446365615,1.767452871523787,1.0
54.25,10.557679764730343,7.729913676860646,14.899486051945159,0.7283134519635789,0.696184186507151,30.0,-0.0010709755152142639,-7.270086323139354,0.0,15.945127798156951,10.498352616996552,22.341520226857842,0.6105067512348878,0.5478228048681099,30.0,-0.0020894648788925994,-4.501647383003448,0.0,18.174937256835594,11.841375662278047,24.430924151456445,0.5424916363794523,0.4588844689550195,30.0,-0.002786905580814427,-3.158624337721953,0.0,20.297118456399076,13.069250288831133,26.11049414856555,0.46643540885055623,0.358771023650542,30.0,-0.0035888128400004752,-1.9307497111688665,0.0,22.693679659093846,14.185429685058253,27.98746736749493,0.3748936788266497,0.23303366208078863,30.0,-0.004728667224862036,-0.8145703149417471,0.0,26.29550327818841,16.794562714729356,30.10860187636054,0.20754337880745952,0.0,30.0,-0.006918112626915317,1.7945627147293557,1.0
54.5,10.536481971904559,7.730880253502032,14.840820365452132,0.728046627694059,0.6961379052313302,30.0,-0.00106362408209096,-7.269119746497968,0.0,15.930974748995117,10.499741207389008,22.30026241169176,0.6099862038613907,0.5477383068954853,30.0,-0.002074929898863513,-4.5002587926109925,0.0,18.160966412739814,11.842941028893039,24.3894052888884,0.54179733171406,0.4587707467502668,30.0,-0.002767552832126439,-3.157058971106961,0.0,20.28279339273165,13.070621325469387,26.06802692436033,0.4655414032651684,0.35864361832982267,30.0,-0.0035632594978448583,-1.9293786745306125,0.0,22.6808104466651,14.186617794691136,27.946307009059613,0.37371571607233994,0.23286365185216062,30.0,-0.00469506880733931,-0.813382205308864,0.0,26.29099186128226,16.82155400369748,30.073259948182947,0.20582103704199767,0.0,30.0,-0.006860701234733255,1.8215540036974787,1.0
54.75,10.515208305536467,7.73182883061159,14.78205220603195,0.7277816372143893,0.6960924828109366,30.0,-0.0010563051467817552,-7.26817116938841,0.0,15.916765800596611,10.501116585019137,22.25901467923514,0.6094692784222285,0.5476546000890746,30.0,-0.002060489277771797,-4.498883414980863,0.0,18.146919889628645,11.844491675477684,24.34790709672037,0.5411078494611394,0.4586580661394946,30.0,-0.002748326110721494,-3.155508324522316,0.0,20.26836735365423,13.071976715825308,26.02559337878653,0.46465376532888036,0.3585176224561997,30.0,-0.0035378714290893545,-1.9280232841746923,0.0,22.667802383417893,14.187789139937976,27.905191078151958,0.37254612748719157,0.2326959188958877,30.0,-0.0046616736197101286,-0.8122108600620237,0.0,26.28624666996807,16.84841365661484,30.03802036094354,0.20411298848682327,0.0,30.0,-0.0068037662828941085,1.8484136566148415,1.0
55.0,10.493858939906048,7.732759394832945,14.72318171793019,0.7275184724372328,0.6960479200537396,30.0,-0.0010490184127831055,-7.267240605167055,0.0,15.902501331428477,10.502478769451434,22.21777693240122,0.6089559514222411,0.5475716836207272,30.0,-0.0020461422600504655,-4.497521230548566,0.0,18.13279828246616,11.846027624299433,24.306429525339023,0.5404231582412509,0.4585464262718711,30.0,-0.002729224398979326,-3.153972375700567,0.0,20.253841226605243,13.07331649798226,25.983193443375438,0.46377245388648014,0.3583930339741311,30.0,-0.0035126473304116354,-1.92668350201774,0.0,22.654656754992697,14.18894379338873,27.8641194386614,0.3713848624520889,0.2325304577342173,30.0,-0.004628480157262387,-0.8110562066112692,0.0,26.281267791567956,16.87512970376025,30.002882207340335,0.20241911452676634,0.0,30.0,-0.006747303817558878,1.8751297037602512,1.0
55.25,10.4724340686355,7.733671932816544,14.664209140863491,0.727257125349057,0.6960042177642055,30.0,-0.0010417635861617147,-7.266328067183456,0.0,15.888181718572554,10.50382778012296,22.176549078295352,0.6084461995543913,0.5474895566661243,30.0,-0.0020318880962755656,-4.496172219877041,0.0,18.118602183732715,11.847548897556708,24.26497252830057,0.5397432269282912,0.4584358262936622,30.0,-0.002710246687820968,-3.152451102443292,0.0,20.239215894829265,13.074640709764047,25.94082704795317,0.46289742810725254,0.35826985083276286,30.0,-0.003487585909149656,-1.9253592902359529,0.0,22.641374841671908,14.1900818271351,27.823091955680663,0.3702318707224859,0.2323672628785305,30.0,-0.004595486928131848,-0.8099181728649008,0.0,26.27605542224349,16.90169128338559,29.967844556409364,0.200739297531011,0.0,30.0,-0.0066913099177003665,1.9016912833855883,1.0
55.5,10.450933913131143,7.734566431242937,14.605134815880627,0.7269975880094902,0.6959613767423718,30.0,-0.001034540375570614,-7.265433568757063,0.0,15.873807337867266,10.505163636345415,22.1353310283096,0.6079399996982352,0.5474082184046677,30.0,-0.002017726043118917,-4.494836363654585,0.0,18.10433218349603,11.849055517380302,24.223536061783093,0.5390680246473657,0.4583262653481468,30.0,-0.00269139197664063,-3.150944482619698,0.0,20.224492236251063,13.075949388736403,25.898494109339428,0.462028647482324,0.3581480709858794,30.0,-0.0034626858832148186,-1.9240506112635973,0.0,22.62795791792952,14.19120331277161,27.782108487533044,0.3690871024252093,0.23220632882968412,30.0,-0.0045626924531841735,-0.8087966872283907,0.0,26.2706098831219,16.928088622977594,29.93290645712134,0.1990734208449237,0.0,30.0,-0.006635780694830789,1.9280886229775938,1.0
55.75,10.429358728036242,7.735442876849301,14.545959179294202,0.7267398525506716,0.6959193977825641,30.0,-0.0010273484922702525,-7.264557123150699,0.0,15.85937856402766,10.506486357307256,22.094122698124337,0.6074373289184039,0.547327668019365,30.0,-0.002003655363301293,-4.493513642692744,0.0,18.08998886881135,11.850547505833733,24.18212007185294,0.5383975207726792,0.4582177425756062,30.0,-0.002672659273235767,-3.149452494166267,0.0,20.209671122676625,13.077242572208318,25.856194543275866,0.46116607182203023,0.3580276923918671,30.0,-0.003437945981005438,-1.922757427791682,0.0,22.614407251580744,14.192308321395528,27.741168888431606,0.36795050805529056,0.23204765007852346,30.0,-0.004530095265892237,-0.8076916786044723,0.0,26.26493163331358,16.954313008276422,29.898066941854143,0.1974213687819534,0.0,30.0,-0.00658071229273178,1.9543130082764222,1.0
56.0,10.407708791581362,7.736301256446679,14.486682622212996,0.7264839111765985,0.6958782816725599,30.0,-0.0010201876501346185,-7.263698743553321,0.0,15.84489577024047,10.507795962075269,22.052923996331476,0.6069381644630963,0.547247904696749,30.0,-0.0019896753255449116,-4.492204037924731,0.0,18.07557282201742,11.852024884911154,24.140724494539448,0.5377316849254457,0.458110257113492,30.0,-0.0026540475937317882,-3.1479751150888458,0.0,20.194753420122733,13.078520297235361,25.8139282679801,0.4603096612533056,0.3579087130134945,30.0,-0.0034133649413270366,-1.921479702764639,0.0,22.60072410372272,14.193396923608368,27.70027301434998,0.366822038472829,0.231891221106166,30.0,-0.0044976939122221005,-0.8066030763916316,0.0,26.259021279903866,16.980356742389205,29.863325029711923,0.19578302661559957,0.0,30.0,-0.006526100887186652,1.9803567423892048,1.0
56.25,10.38598438636356,7.737141556917418,14.427305535262668,0.7262297561624759,0.6958380291936997,30.0,-0.0010130575656258707,-7.262858443082582,0.0,15.83035932571134,10.509092469593188,22.011734813330875,0.6064424837625868,0.5471689276269753,30.0,-0.0019757852045203823,-4.490907530406812,0.0,18.06108462072385,11.853487676537107,24.09934926835048,0.5370704869718127,0.45800380809646063,30.0,-0.002635555962511736,-3.1465123234628933,0.0,20.179739989171434,13.079782600623238,25.771695204174108,0.4594593762170899,0.35779113081766595,30.0,-0.0033889415133141307,-1.920217399376762,0.0,22.586909728874257,14.194469189517894,27.659420723150344,0.3657016448998827,0.23173703638421794,30.0,-0.0044654869505221595,-0.8055308104821055,0.0,26.252879585061088,17.00621309722866,29.82867972952073,0.19415828057144174,0.0,30.0,-0.006471942685714724,2.0062130972286596,1.0
56.5,10.36418581030504,7.7379637652281605,14.36782841715722,0.7259773798540698,0.695798641120252,30.0,-0.0010059579577939273,-7.2620362347718395,0.0,15.815769595072371,10.510375898680996,21.970555040975903,0.6059502644277441,0.5470907360038799,30.0,-0.0019619842807954736,-4.489624101319004,0.0,18.046524838387136,11.85493590256735,24.05799433486927,0.5364138970208078,0.4578983946563291,30.0,-0.0026171834121492894,-3.14506409743265,0.0,20.16463168526085,13.081029518931343,25.729495275113457,0.45861517746575586,0.3576749437751786,30.0,-0.0033646744563525753,-1.9189704810686568,0.0,22.57296537508784,14.195525188740243,27.618611874592254,0.3645892789173859,0.2315850903749718,30.0,-0.004433472951413804,-0.8044748112597571,0.0,26.24650747036066,17.031876259349215,29.794130040337727,0.19254701781924005,0.0,30.0,-0.006418233927308001,2.0318762593492146,1.0
56.75,10.342313389631949,7.738767868454336,14.308251883369648,0.7257267746670585,0.6957601182182291,30.0,-0.0009988885482943113,-7.261232131545664,0.0,15.80112693934429,10.511646268036014,21.929384575218105,0.6054614842485624,0.5470133290249265,30.0,-0.001948271840787863,-4.488353731963986,0.0,18.031894044771196,11.856369584789878,24.016659638802178,0.5357618854222975,0.4577940159220173,30.0,-0.002598928983342674,-3.143630415210122,0.0,20.14942935892484,13.082261088476365,25.68732840661731,0.45777702606055726,0.3575601498604708,30.0,-0.003340562540002882,-1.9177389115236352,0.0,22.55889228403783,14.196564990402084,27.577846330341636,0.3634848924620945,0.23143537753160046,30.0,-0.004401650497683134,-0.8034350095979157,0.0,26.23990601850881,17.05734127202917,29.759674954646254,0.19094912646510118,0.0,30.0,-0.0063649708821700395,2.05734127202917,1.0
57.0,10.320367487443423,7.7395538538097455,14.248576673054835,0.7254779330863784,0.6957224612439578,30.0,-0.0009918490614140222,-7.2604461461902545,0.0,15.786431716704422,10.512903596234334,21.88822331619904,0.6049761211927047,0.5469367058911336,30.0,-0.0019346471767190362,-4.4870964037656655,0.0,18.017192806312455,11.857788744925974,23.975345128027904,0.5351144227649659,0.4576906710194871,30.0,-0.0025807917248492924,-3.1422112550740255,0.0,20.134133855991635,13.083477345335877,25.645194527099072,0.4569448833690933,0.35744674705137286,30.0,-0.003316604543924014,-1.9165226546641225,0.0,22.5446916910891,14.197588663142888,27.53712395398009,0.362388437823559,0.23128789229833777,30.0,-0.004370018184174041,-0.8024113368571122,0.0,26.23307647307418,17.082603975222113,29.72531346308222,0.1893644955437052,0.0,30.0,-0.00631214985145684,2.0826039752221135,1.0
57.25,10.298348506891399,7.740321708677652,14.188803600852548,0.7252308476655617,0.6956856709425767,30.0,-0.0009848392240994984,-7.259678291322348,0.0,15.771684283060326,10.514147901732457,21.847071168345426,0.6044941534040588,0.5468608658069889,30.0,-0.0019211095865689957,-4.485852098267543,0.0,18.002421686411367,11.859193404631387,23.934050753648037,0.5344714798743061,0.4575883590716742,30.0,-0.0025627706934210626,-3.1408065953686126,0.0,20.118746017749466,13.084678325351941,25.603093567597714,0.4561187110627936,0.357334733328855,30.0,-0.003292799257797953,-1.9153216746480588,0.0,22.530364825349537,14.198596275117222,27.496444611014383,0.36129986764112243,0.2311426291106537,30.0,-0.004338574617682291,-0.8014037248827783,0.0,26.22602023635008,17.10766094476293,29.691044556836076,0.18779301501060083,0.0,30.0,-0.006259767167020028,2.10766094476293,1.0
57.5,10.27625687077476,7.741071420621977,14.128933415760304,0.724985511026072,0.695649748047489,30.0,-0.0009778587659527661,-7.258928579378023,0.0,15.756884992483268,10.515379202869061,21.805928040467283,0.6040155592013013,0.5467858079803546,30.0,-0.0019076583740315586,-4.484620797130939,0.0,17.98758124566766,11.860583585497563,23.892776470038896,0.5338330278106316,0.45748707919841386,30.0,-0.0025448649537405904,-3.1394164145024366,0.0,20.103266681085945,13.085864064134707,25.56102546180972,0.455298471114423,0.35722410667677446,30.0,-0.003269145481254952,-1.9141359358652927,0.0,22.515912909709492,14.199587893997116,27.455808168886204,0.36021913490094537,0.23099958239542118,30.0,-0.0043073184168508066,-0.8004121060028844,0.0,26.218738865533997,17.132509431966632,29.656867229776147,0.1862345757345648,0.0,30.0,-0.006207819191152161,2.132509431966632,1.0
57.75,10.25409301434593,7.741802977392083,14.068966952180245,0.7247419158566418,0.6956146932801193,30.0,-0.0009709074192174186,-7.258197022607917,0.0,15.742034197540809,10.516597517866911,21.76479384585897,0.603540317076477,0.5467115316223654,30.0,-0.0018942928484703876,-4.483402482133089,0.0,17.972672042072393,11.861959309052923,23.851522234904596,0.5331990378670995,0.4573868305163641,30.0,-0.0025270735783578485,-3.1380406909470775,0.0,20.08769667860625,13.087034597065998,25.518990146121624,0.4544841257956028,0.35711486508162443,30.0,-0.00324564202379928,-1.9129654029340024,0.0,22.501337160870417,14.200563586974484,27.415214496982045,0.35914619293305855,0.2308587465710748,30.0,-0.004276248212066125,-0.799436413025516,0.0,26.211234067485282,17.157147304537432,29.622780480370906,0.18468906949002067,0.0,30.0,-0.006156302316334022,2.157147304537432,1.0
