dataset,fluence_ratio,t_ps,delta_k_exp,sigma_dk,delta_k_fit,residual,u,u_raw,u0,dk0,K_dk_used,B_dk_used,A_obs_used,B_obs_used,json_local_key,readout_source,m,eta,chi2q,Te,Ts,Tl,dt_i_ps,sigma_irf_ps
dk_1p0mW.csv,1.0,34.0,0.03313903511,0.0001655214874,0.034430043524235655,0.001291008414235656,0.2664424442693846,0.2664424442693846,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7571706221806456,0.9360405289870315,0.3518922109022567,12.014970325162341,7.586013854480278,19.340587014351982,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,39.0,0.03381597996,0.0001780083403,0.03389975937206432,8.377941206431927e-05,0.2629072165882424,0.2629072165882424,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7486892985575295,0.9363167284437304,0.3511566374660029,11.698985616285574,7.630639371530862,18.291488863948505,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,44.0,0.03320166469,0.0001700729481,0.0334240415014361,0.00022237681143610216,0.25973576411738764,0.25973576411738764,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7412104919027789,0.9365922713381335,0.350421057115117,11.353320210977024,7.668264829180212,17.2137012352041,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,49.0,0.03289055824,0.0001591517066,0.032997329049897814,0.00010677080989781457,0.2568910144404657,0.2568910144404657,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7346308538890113,0.9368665083324235,0.3496872110401138,10.97743575938438,7.698859766776901,16.10166130807168,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,54.0,0.03244076669,0.0001617792586,0.03261496708797065,0.00017420039797065578,0.2543419346942846,0.2543419346942846,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7288636309615895,0.9371388039920133,0.34895681975341725,10.570815892096284,7.7223542848104785,14.950625791851705,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,59.0,0.03164210916,0.0001591117616,0.03227307717331375,0.0006309680133137485,0.25206266859657195,0.25206266859657195,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7238363035535305,0.9374085331808915,0.34823159236296986,10.133842559025068,7.738650324453976,13.758874898353632,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,64.0,0.0311126709,0.0001991804165,0.03196843973454831,0.0008557688345483122,0.2500317523381357,0.2500317523381357,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7194884400001492,0.9376750793262817,0.3475132308422965,9.669783606610368,7.7476519081377235,12.532751838568373,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,69.0,0.03191779554,0.0002114328672,0.03169837437297164,-0.00021942116702836079,0.2482313165942912,0.2482313165942912,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7157695130512142,0.937937837165918,0.34680342214649473,9.189025749313151,7.74933748260393,11.29731611143576,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,74.0,0.03183153272,0.0001650533814,0.03146059352144045,-0.00037093919855955143,0.2466461109174166,0.2466461109174166,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.71263623372824,0.9381962253644797,0.3461038033767362,8.716557811513319,7.743913841353371,10.114617821176653,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,79.0,0.03161939979,0.0001477182959,0.03125299387807348,-0.0003664059119265206,0.24526211329497014,0.24526211329497014,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7100487561992365,0.9384497175885584,0.3454158762389983,8.298387578818122,7.732074459604849,9.097083801142025,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,84.0,0.03131636977,0.0001838028111,0.031073375133251053,-0.0002429946367489451,0.24406465499615396,0.24406465499615396,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7079655600544214,0.9386978962621711,0.34474085854881514,7.987237111374951,7.715214360766324,8.366290240164705,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,89.0,0.03111153841,0.0001817307348,0.03091919853625868,-0.00019233987374131858,0.24303681101620478,0.24303681101620478,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7063390502272184,0.9389405063731947,0.3440795336715754,7.798912220604462,7.695189879470305,7.9456254142638185,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,94.0,0.03182448447,0.0001489702699,0.030787595898494845,-0.001036888571505152,0.24215946009777922,0.24215946009777922,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7051157082801169,0.9391774610807009,0.34343222999306383,7.699573271655662,7.673614791109432,7.741458249021331,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,99.0,0.03116922081,0.0002134156384,0.030675625558449954,-0.0004935952515500441,0.2414129911641466,0.2414129911641466,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7042407484296002,0.9394087916759346,0.3427989529184132,7.646149297961481,7.651453015703702,7.646473280875682,0.5146593205424301,0.2
dk_1p0mW.csv,1.0,104.0,0.03067336977,0.0001895160822,0.03058053085278212,-9.283891721787937e-05,0.2407790264596944,0.2407790264596944,0.2984528626943391,0.04084549844,,,0.15,-0.005536323116172037,deltak12k_1p0mW.csv,json_best_local_params,0.7036628342364966,0.9396345890407002,0.3421795421680181,7.612236226967534,7.6291489832382355,7.597229821772439,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,-16.0,0.0418857642898,0.000262266178362,0.03790004249692111,-0.003985721792878892,0.28900997103981213,0.28900997103981213,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.825627528053666,0.9367314444138454,0.35004885522788237,4.775087773799896,4.775087773799896,4.775087773799896,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,-11.0,0.0418857642898,0.000262266178362,0.03790064074015387,-0.003985123549646134,0.28901572585099844,0.28901572585099844,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.8256425689580112,0.9367312227447878,0.3500494484141558,4.768989770110864,4.770367321534593,4.767795898987748,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,-6.0,0.0418857642898,0.000262266178362,0.03790231755615266,-0.003983446733647339,0.28903185601167364,0.28903185601167364,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.8256844816140182,0.9367305625757185,0.35005121501942804,4.764288205869551,4.765671217321582,4.763080234086871,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,-1.0,0.0418857642898,0.000262266178362,0.03790491453223946,-0.003980849757560544,0.28905683766832513,0.28905683766832513,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.8257489620651131,0.9367294718303946,0.350054133819828,4.759631795523147,4.7610037157894665,4.7584346612946575,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,4.0,0.0369382388576,0.000233177658509,0.03767296051654631,0.0007347216589463079,0.2868255519786175,0.2868255519786175,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.8198847363584173,0.9368107972562129,0.3498364334145014,288.8665910037889,7.116317988096695,24.27388823888053,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,9.0,0.0358740733441,0.000229435778263,0.03675469445744089,0.0008806211133408903,0.277992275646223,0.277992275646223,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.7966171625173355,0.9371353991442598,0.34896596348459097,157.30910612864028,9.171124267623345,28.31783722232603,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,14.0,0.0341321973987,0.000168177753581,0.03553417944044265,0.001401982041742647,0.2662515102045756,0.2662515102045756,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.7656824134201575,0.9375943433249138,0.3477309985680366,48.858185237295416,10.002435036626956,29.04850744126008,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,19.0,0.0352131303802,0.00024390670438,0.034352205768777656,-0.0008609246114223423,0.2548814939049389,0.2548814939049389,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.735899589933388,0.9381040258666873,0.34635362947818765,17.2674085021504,10.146672809642132,28.31871734519963,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,24.0,0.0331379130758,0.000211525131894,0.03331361314371918,0.00017570006791917808,0.24489073407780768,0.24489073407780768,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.709931008512466,0.9386210447944198,0.34495004604874574,17.092147242248792,10.214207529635807,27.443464563966543,0.5146593205424301,0.2
dk_2p0mW.csv,2.0,29.0,0.0338459789952,0.000406925122735,0.03240291347679418,-0.0014430655184058186,0.23613024278663974,0.23613024278663974,0.28902859764270233,0.0418857642898,,,0.10395531901768315,0.007855918758186071,deltak12k_2p0mW.csv,json_best_local_params,0.6873703606185029,0.9391428194584688,0.34352694895684377,16.994809305238878,10.274796820364562,26.57892537630011,0.5146593205424301,0.2
